4356.64	0.0495	0.4594	0.0054	82.6878	2.08E+00
4522.3	0.0477	0.4628	0.0034	83.2938	2.05E+00
4670.95	0.0461	0.4665	0.0037	83.9526	2.01E+00
4828.35	0.0446	0.4691	0.0026	84.4269	1.98E+00
4899.65	0.044	0.4716	0.0025	84.8748	1.97E+00
5042.22	0.0427	0.4735	0.0019	85.2174	1.95E+00
5307.43	0.0406	0.4773	0.0038	85.9025	1.91E+00
5490.83	0.0393	0.4801	0.0028	86.4032	1.89E+00
5769.16	0.0374	0.483	0.0029	86.9302	1.86E+00
5975.71	0.0361	0.4862	0.0032	87.5099	1.86E+00
6259.1	0.0344	0.4887	0.0025	87.9578	1.86E+00
6245.6	0.0345	0.4887	0	87.9578	1.86E+00
6592.61	0.0327	0.4925	0.0038	88.643	1.82E+00
6982.04	0.0309	0.4959	0.0034	89.249	1.78E+00
7404.24	0.0291	0.4988	0.0029	89.776	1.75E+00
7828.37	0.0275	0.5012	0.0023	90.1976	1.75E+00
8294.91	0.026	0.5044	0.0032	90.7773	1.76E+00
8751.82	0.0246	0.5066	0.0022	91.1726	1.78E+00
9137.39	0.0236	0.5091	0.0025	91.6206	1.79E+00
9677.2	0.0223	0.511	0.0019	91.9631	1.79E+00
10031.92	0.0215	0.5125	0.0015	92.2266	1.78E+00
10471.48	0.0206	0.5138	0.0013	92.4638	1.73E+00
10909.11	0.0198	0.5157	0.0019	92.8063	1.71E+00
11516.39	0.0187	0.5177	0.002	93.1752	1.74E+00
12006.07	0.018	0.5186	0.0009	93.3333	1.74E+00
12482.26	0.0173	0.5196	0.001	93.5178	1.74E+00
13170.51	0.0164	0.5215	0.0019	93.8604	1.71E+00
14001.43	0.0154	0.5233	0.0018	94.1766	1.82E+00
14489.19	0.0149	0.5243	0.001	94.361	1.85E+00
15229.5	0.0142	0.5252	0.0009	94.5191	1.84E+00
15751.95	0.0137	0.5264	0.0012	94.7299	1.85E+00
15989.08	0.0135	0.5271	0.0007	94.8617	1.85E+00
16943.39	0.0127	0.5283	0.0012	95.0725	1.93E+00
18046.14	0.0119	0.5297	0.0015	95.336	2.06E+00
19091.06	0.0113	0.531	0.0013	95.5731	2.07E+00
20006.8	0.0108	0.5324	0.0013	95.8103	2.22E+00
21709.13	0.0099	0.5344	0.002	96.1792	2.41E+00
22013.74	0.0098	0.5344	0	96.1792	2.45E+00
23249.52	0.0093	0.5359	0.0015	96.4427	2.52E+00
23989.83	0.009	0.5369	0.001	96.6271	2.62E+00
25661.31	0.0084	0.5381	0.0012	96.8379	2.84E+00
25963.99	0.0083	0.5387	0.0006	96.9433	2.87E+00
27670.17	0.0078	0.54	0.0013	97.1805	2.83E+00
27913.08	0.0077	0.5406	0.0006	97.2859	2.81E+00
29139.22	0.0074	0.5414	0.0009	97.444	2.68E+00
29908.45	0.0072	0.542	0.0006	97.5494	2.57E+00
32443.63	0.0066	0.5433	0.0013	97.7866	2.43E+00
34865.07	0.0062	0.5439	0.0006	97.892	2.47E+00
37652.8	0.0057	0.5451	0.0012	98.1028	2.47E+00
37868.72	0.0057	0.5458	0.0007	98.2345	2.47E+00
39891.09	0.0054	0.5467	0.0009	98.3926	2.37E+00
44782.16	0.0048	0.5474	0.0007	98.5244	2.71E+00
49438.03	0.0044	0.5482	0.0007	98.6561	6.31E+00
49653.95	0.0043	0.5489	0.0007	98.7879	6.44E+00
49812.04	0.0043	0.5492	0.0003	98.8406	6.52E+00
54367.64	0.004	0.5521	0.0029	99.3676	7.62E+00
54479.46	0.004	0.5533	0.0012	99.5784	7.64E+00
54778.28	0.0039	0.5537	0.0004	99.6574	7.70E+00
56457.47	0.0038	0.5556	0.0019	100	8.35E+00
59759.96	0.0036	0.5556	0	100	8.72E+00
