HOLE:	995B
LEG:	164
TOP:	133.960007
BOTTOM:	657.911194
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
157.5820	0.8384	0.8440	0.7777
157.7344	0.8348	0.8236	0.7468
157.8868	0.8215	0.8052	0.7456
158.0392	0.8016	0.7937	0.7648
158.1916	0.7921	0.7897	0.7397
158.3440	0.7894	0.7899	0.7714
158.4964	0.7890	0.7893	0.7289
158.6488	0.7856	0.7856	0.7363
158.8012	0.7927	0.7810	0.7533
158.9536	0.7954	0.7810	0.7659
159.1060	0.7971	0.7892	0.7808
159.2584	0.8013	0.8046	0.7870
159.4108	0.8073	0.8208	0.7827
159.5632	0.8193	0.8307	0.7974
159.7156	0.8309	0.8329	0.7838
159.8680	0.8343	0.8323	0.8045
160.0204	0.8430	0.8355	0.7834
160.1728	0.8548	0.8461	0.7962
160.3252	0.8640	0.8628	0.8678
160.4776	0.8722	0.8808	0.8857
160.6300	0.8860	0.8949	0.8605
160.7824	0.8862	0.9021	0.8591
160.9348	0.8937	0.9037	0.8805
161.0872	0.9008	0.9031	0.8914
161.2396	0.9045	0.9018	0.9067
161.3920	0.9009	0.8984	0.8901
161.5444	0.9073	0.8907	0.8675
161.6968	0.9176	0.8796	0.8688
161.8492	0.9214	0.8717	0.8754
162.0016	0.9242	0.8756	0.8604
162.1540	0.9254	0.8917	0.8692
162.3064	0.9246	0.9095	0.9285
162.4588	0.9095	0.9154	0.9274
162.6112	0.9270	0.9069	0.8652
162.7636	0.9312	0.8951	0.7964
162.9160	0.9337	0.8940	0.8161
163.0684	0.9431	0.9085	0.8212
163.2208	0.9460	0.9308	0.8501
163.3732	0.9298	0.9489	0.9105
163.5256	0.9402	0.9578	0.8727
163.6780	0.9451	0.9585	0.8633
163.8304	0.9465	0.9515	0.8921
163.9828	0.9482	0.9387	0.9463
164.1352	0.9465	0.9241	0.8859
164.2876	0.9430	0.9124	0.8969
164.4400	0.9275	0.9058	0.8518
164.5924	0.9171	0.9033	0.8749
164.7448	0.9013	0.9018	0.8730
164.8972	0.8967	0.8993	0.8223
165.0496	0.8934	0.8973	0.8278
165.2020	0.8901	0.8971	0.8259
165.3544	0.8817	0.8955	0.8351
165.5068	0.8664	0.8875	0.8315
165.6592	0.8616	0.8721	0.8350
165.8116	0.8600	0.8533	0.8566
165.9640	0.8585	0.8370	0.8577
166.1164	0.8565	0.8286	0.8508
166.2688	0.8546	0.8300	0.8110
166.4212	0.8513	0.8375	0.8344
166.5736	0.8435	0.8450	0.8293
166.7260	0.8397	0.8481	0.8603
166.8784	0.8401	0.8461	0.8492
167.0308	0.8379	0.8421	0.8020
167.1832	0.8364	0.8390	0.7771
167.3356	0.8336	0.8360	0.8257
167.4880	0.8333	0.8312	0.8211
167.6404	0.8332	0.8264	0.8254
