OCEAN DRILLING PROGRAM		
Hole: 995B		
Leg: 164		
Shear Sonic Tool		
Operator: Borehole Research Group (Lamont Doherty Earth 		
Date: 11/2/1995		

"Note: for further information about the tool and the data processing performed, refer to the paper: Guerin et al., "Characterization of in situ elastic properties of gas hydrate-bearing sediments on the Blake Ridge, J. Geophys. Res., 104(8), 17,781-17,795, 1999".		

DEPTH	VP	VS
mbsf	m/s	m/s
621.34	1796.3	639.74
621.19	1802.64	648.51
621.04	1806.88	637.68
620.89	1810.1	696.36
620.74	1813.33	692.46
620.59	1817.68	605.28
620.44	1823.13	533.7
620.29	1819.93	512.53
620.14	1810.46	463.41
619.99	1803.01	496.54
619.84	1790.26	581.37
619.69	1778.48	613.52
619.54	1777.43	653.04
619.39	1781.58	706.46
619.24	1779.5	652.95
619.09	1781.56	619.56
618.94	1786.83	634.34
618.79	1792.15	604.9
618.64	1796.4	595.45
618.49	1802.69	594.2
618.34	1812.28	597.07
618.19	1815.51	601.99
618.04	1816.59	615.42
617.89	1820.94	630.34
617.74	1825.26	648.44
617.61	1824.17	661.78
617.49	1824.17	656.11
617.37	1825.26	651.4
617.25	1825.26	641.75
617.13	1837.78	631.86
616.99	1837.78	625.94
616.84	1841.07	631.33
616.69	1839.99	633.04
616.54	1834.6	636.18
616.39	1816.66	640.18
616.24	1813.41	640.6
616.09	1809.04	643.34
615.94	1809.04	648.76
615.79	1810.1	658.33
615.64	1810.1	660.71
615.49	1811.18	661.41
615.34	1811.18	664.27
615.19	1813.35	653.47
615.04	1816.59	648.86
614.89	1818.73	632.61
614.74	1817.66	621.43
614.59	1814.44	608.62
614.44	1814.44	602.13
614.29	1816.64	595.14
614.14	1814.48	592.26
613.99	1808.11	589.17
613.84	1799.72	587.87
613.71	1800.78	591.49
613.6	1793.19	588.1
613.51	1793.19	596.02
613.42	1798.65	602.49
613.33	1811.62	604.75
613.22	1811.62	609.49
613.09	1831.08	615.69
612.94	1831.08	618.62
612.79	1823.8	619.75
612.64	1798.07	623.5
612.49	1771.07	621.64
612.34	1742.61	624.16
612.19	1731.24	630.07
612.04	1729.21	638.44
611.89	1745.25	640.81
611.74	1760.32	645.51
611.59	1769.31	642.08
611.44	1773.36	636.05
611.29	1776.41	629.21
611.14	1774.33	626.72
610.99	1769.16	624.39
610.84	1767.12	621.13
610.69	1766.09	617.61
610.54	1763.05	611.09
610.39	1759.96	604.05
610.24	1768.31	599.4
610.09	1768.31	601.76
609.94	1779.82	606.67
609.79	1788.16	610.27
609.64	1800.68	627.01
609.49	1817.78	630.91
609.36	1817.78	636.19
609.21	1818.86	641.11
609.06	1813.6	648.18
608.91	1794.17	634.25
608.76	1760.56	630
608.59	1724.95	618.8
608.44	1702.51	607.34
608.29	1655.68	601.02
608.14	1606.7	605.25
607.99	1566.02	610
607.84	1536.08	619.57
607.69	1496.33	631.03
607.54	1492.47	645.9
607.39	1505.86	663.84
607.24	1505.15	682.67
607.09	1497.48	698.18
606.94	1494.52	688.12
606.79	1490.76	679.7
606.64	1489.98	661.26
606.49	1502.6	640.06
606.34	1526.88	558.43
606.19	1543.93	576.56
606.04	1561.23	583.88
605.89	1608.58	600.34
605.74	1667.64	622.55
605.59	1716.56	682.29
605.44	1758.27	668.67
605.29	1776.29	639.73
605.14	1751.37	612.12
604.99	1703.95	588.7
604.84	1670.52	587.62
604.69	1640.27	592.08
604.54	1631.23	543.91
604.39	1629.02	510.05
604.24	1635.4	469.16
604.09	1624.77	428.92
603.94	1622.58	383.05
603.79	1616.12	432.58
603.64	1599.43	502.54
603.49	1584.93	565.17
603.34	1567.43	622.86
603.19	1543.33	670.38
603.04	1518.03	710.26
602.89	1504.77	702.43
602.74	1491.5	691.94
602.59	1489.67	699.69
602.44	1491.55	710.88
602.29	1500.79	688.67
602.14	1510.15	671.42
601.99	1517.58	674.64
601.84	1525.02	589.16
601.69	1530.78	548.71
601.54	1551.11	516.39
601.39	1573.92	487.01
601.24	1600.9	457.02
601.09	1623.41	542.85
600.94	1637.73	574.82
600.79	1627.24	615.51
600.64	1606.37	675.49
600.49	1599.73	678.19
600.34	1583.04	635.21
600.19	1578.81	607.79
600.04	1582.93	578.86
599.89	1579.07	548.9
599.74	1566.56	571.14
599.59	1562.65	604.63
599.44	1554.52	635.77
599.29	1540.57	665.93
599.14	1548.39	674.59
598.99	1542.48	653.32
598.84	1554.52	625.53
598.69	1560.58	597.59
598.54	1574.53	569.34
598.39	1582.76	545.93
598.24	1594.8	556.03
598.09	1596.9	567.51
597.94	1607.53	579.11
597.79	1616.09	594.39
