HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
124.0536	12.7981	2.4176	0.5523	1.1727	0.0316	23.6220	10.7373	1.4316	0.7158	0.0000
124.2060	13.2354	2.0748	0.5034	1.2608	0.0213	22.9391	9.3190	4.3011	0.0000	0.7168
124.3584	13.3243	1.2354	0.3566	1.3657	0.0015	23.2240	13.6612	2.0492	0.0000	0.0000
124.5108	13.0695	0.5353	0.2026	1.4160	-0.0089	21.8281	12.2783	2.7285	0.0000	0.0000
124.6632	12.9736	0.0892	0.0574	1.4556	-0.0061	25.0000	8.5714	0.7143	0.7143	0.0000
124.8156	13.5114	-0.0773	-0.0468	1.5351	0.0048	25.9386	9.5563	2.7304	0.0000	0.0000
124.9680	13.2225	0.2670	-0.0586	1.4636	0.0271	26.2960	12.0210	0.7513	1.5026	1.5026
125.1204	12.5905	0.4341	-0.0522	1.3733	0.0356	23.6052	9.2990	0.7153	0.0000	0.0000
125.2728	11.6844	0.9395	0.0357	1.2139	0.0477	21.0210	10.5105	0.7508	0.0000	0.7508
125.4252	12.4836	1.0887	0.0806	1.2873	0.0475	24.7748	9.7598	0.0000	0.7508	0.0000
125.5776	12.1015	1.1942	0.1387	1.2322	0.0421	29.3716	11.6120	0.6831	0.6831	0.0000
125.7300	12.9860	1.5853	0.2326	1.2880	0.0463	23.6052	6.4378	0.0000	0.7153	0.0000
125.8824	11.6587	2.2795	0.3291	1.0596	0.0677	32.1888	8.5837	2.8612	0.7153	0.0000
126.0348	12.9443	3.1326	0.4583	1.1084	0.0918	22.5102	6.8213	1.3643	1.3643	0.0000
126.1872	11.8740	3.4947	0.4982	0.9466	0.1050	27.1817	12.8755	3.5765	0.7153	0.0000
126.3396	13.0970	3.8825	0.5850	1.0410	0.1105	25.0358	6.4378	4.2918	0.7153	0.0000
126.4920	12.3351	3.8357	0.5335	0.9602	0.1179	30.0429	10.7296	3.5765	0.0000	0.0000
126.6444	12.0630	3.8088	0.4986	0.9325	0.1233	24.3205	9.2990	3.5765	0.7153	0.7153
126.7968	12.0399	3.8064	0.4162	0.9302	0.1394	28.6689	4.0956	2.0478	0.0000	0.0000
126.9492	10.7935	5.2068	1.0339	0.6311	0.0989	30.7362	8.5776	5.0036	0.7148	0.7148
127.1016	9.6588	6.3381	1.5924	0.3751	0.0543	26.4664	7.8684	0.0000	1.4306	0.0000
