HOLE:	995B
LEG:	164
TOP:	147.3704
BOTTOM:	662.4824
DEPTH_WMSF	C1	C2
m	in	in
147.3704	4.5260	4.3567
147.5228	4.5299	4.4193
147.6752	4.5660	4.4193
147.8276	4.5708	4.4267
147.9800	4.6094	4.4573
148.1324	4.6590	4.5257
148.2848	5.1044	4.9030
148.4372	5.7926	5.5529
148.5896	6.3456	6.0954
148.7420	6.8815	6.5982
148.8944	7.4625	7.1417
149.0468	8.0814	7.7102
149.1992	8.7444	8.3520
149.3516	9.3278	8.9306
149.5040	10.0289	9.5757
149.6564	10.4809	10.0012
149.8088	11.2060	10.6843
149.9612	11.5994	11.0764
150.1136	12.0778	11.5525
150.2660	12.4253	11.8703
150.4184	12.2599	12.6529
150.5708	13.3012	13.5020
150.7232	13.2387	14.2593
150.8756	12.5525	13.7983
151.0280	12.3910	14.1478
151.1804	12.6172	13.9432
151.3328	12.3358	13.6199
151.4852	12.2951	13.5805
151.6376	12.7653	14.7615
151.7900	12.4621	13.4952
151.9424	13.0408	14.2420
152.0948	13.0596	14.2435
152.2472	12.9752	14.1698
152.3996	12.8933	13.8815
152.5520	13.1848	13.9809
152.7044	13.2388	13.9864
152.8568	13.0309	13.9319
153.0092	13.3292	13.9437
153.1616	13.0368	14.2334
153.3140	12.4632	13.7424
153.4664	12.4906	13.7835
153.6188	12.4925	13.7851
153.7712	12.4867	13.7612
153.9236	12.4684	13.7447
154.0760	12.5615	13.8291
154.2284	11.7659	13.2955
154.3808	11.7753	13.2573
154.5332	11.8499	13.2541
154.6856	11.8806	13.2404
154.8380	11.8543	13.2860
154.9904	11.8185	13.2539
155.1428	11.9229	13.2871
155.2952	12.6157	13.6672
155.4476	12.2769	13.6855
155.6000	11.9575	13.5567
155.7524	11.9802	13.5625
155.9048	11.9616	13.5549
156.0572	12.0120	13.6475
156.2096	12.0908	13.8149
156.3620	11.9743	13.5559
156.5144	11.9755	13.5275
156.6668	11.9883	13.4929
156.8192	12.0997	13.4864
156.9716	12.1604	13.4793
157.1240	12.1963	13.5165
157.2764	12.2505	13.5837
157.4288	12.3845	13.5332
157.5812	12.3027	13.7383
157.7336	12.2603	14.7305
157.8860	12.3652	13.8516
158.0384	13.2734	14.5012
158.1908	13.5985	14.6294
158.3432	12.9531	14.3926
158.4956	11.7754	13.6169
158.6480	12.1963	13.9404
158.8004	12.5869	14.5061
158.9528	12.3667	13.9961
159.1052	12.2448	13.1479
159.2576	12.2746	13.3472
159.4100	12.2850	13.5261
159.5624	12.2468	13.3906
159.7148	12.2008	13.1437
159.8672	12.4727	13.6641
160.0196	12.3789	13.5938
160.1720	11.8048	12.6335
160.3244	11.7948	12.6328
160.4768	11.8009	12.6416
160.6292	11.8250	12.6460
160.7816	11.8492	12.6980
160.9340	11.8135	12.7146
161.0864	11.7819	12.6584
161.2388	11.7812	12.6326
161.3912	11.7369	12.7642
161.5436	12.5684	12.8098
161.6960	13.5830	13.0449
161.8484	13.8365	13.3547
162.0008	13.8279	13.3958
162.1532	14.2559	13.0752
162.3056	13.2031	12.8706
162.4580	12.8643	13.0093
162.6104	14.4336	14.1758
162.7628	15.2241	14.8524
162.9152	14.5527	14.8412
163.0676	13.5859	13.8672
163.2200	12.2793	13.8887
163.3724	11.8518	13.6582
163.5248	11.9020	13.4888
163.6772	11.9006	13.5097
163.8296	12.1968	13.8994
163.9820	11.9092	13.4639
164.1344	11.8716	13.2536
164.2868	12.1748	13.7217
164.4392	12.2148	13.8170
164.5916	12.1992	13.7861
164.7440	12.2078	13.7897
164.8964	12.2038	13.7955
165.0488	13.0801	14.1670
165.2012	12.1992	13.7314
165.3536	11.7490	13.6530
165.5060	11.8135	13.7261
165.6584	11.9263	13.7458
165.8108	11.8037	13.5210
165.9632	11.8608	13.4932
166.1156	13.6563	14.3203
166.2680	12.3867	13.6875
166.4204	12.2248	13.6707
166.5728	12.2667	13.8582
166.7252	11.9189	13.5107
166.8776	11.9691	13.5011
167.0300	12.1255	13.6057
167.1824	12.0542	13.5010
167.3348	12.4805	13.4611
167.4872	12.2100	14.2100
167.6396	13.3635	14.4553
167.7920	13.5801	13.9189
167.9444	12.8408	13.8484
168.0968	12.3350	14.5615
168.2492	11.8203	13.2363
168.4016	11.8848	13.5205
168.5540	12.2715	13.0615
168.7064	12.4333	12.9531
168.8588	12.5442	12.9304
169.0112	12.5975	12.9028
169.1636	12.6130	12.9103
169.3160	13.5996	13.2764
169.4684	13.0664	12.7637
169.6208	13.7227	12.8398
169.7732	14.3633	13.3291
169.9256	13.4219	13.2437
170.0780	12.5781	13.1189
170.2304	12.3503	13.1033
170.3828	12.3340	13.1064
170.5352	12.6035	13.3604
170.6876	12.3818	13.3633
170.8400	12.2749	13.4746
170.9924	12.5276	13.8496
171.1448	12.8086	14.1968
171.2972	12.7324	13.9609
171.4496	12.3788	13.4220
171.6020	12.5742	13.5967
171.7544	12.4824	13.6514
171.9068	11.9777	13.3484
172.0592	12.0175	13.4135
172.2116	12.0196	13.4287
172.3640	12.0522	13.4210
172.5164	12.1462	13.3962
172.6688	12.2300	13.4343
172.8212	12.2344	13.5164
172.9736	11.8298	13.3811
173.1260	11.7824	13.3047
173.2784	11.8672	13.4941
173.4308	12.0269	13.1033
173.5832	11.7941	13.0475
173.7356	11.8239	13.0917
173.8880	11.8555	13.1748
174.0404	11.9609	13.5303
174.1928	13.1001	14.2529
174.3452	12.9863	13.4663
174.4976	13.2432	13.6976
174.6500	11.9445	13.5191
174.8024	12.0859	13.5399
174.9548	12.3062	13.8320
175.1072	11.9355	13.9141
175.2596	11.8923	13.8557
175.4120	12.3708	14.1807
175.5644	12.3159	13.6395
175.7168	12.8711	13.6240
175.8692	13.5800	13.6751
176.0216	13.5943	13.6677
176.1740	11.8952	13.6066
176.3264	12.7097	13.6271
176.4788	12.6705	13.8726
176.6312	12.8715	14.1293
176.7836	14.9150	12.7227
176.9360	15.4058	14.3867
177.0884	15.7940	15.2677
177.2408	15.7945	15.2673
177.3932	13.3594	13.9063
177.5456	12.0025	13.8129
177.6980	12.0191	13.2451
177.8504	12.0212	13.2139
178.0028	12.0173	13.2221
178.1552	12.0051	13.2159
178.3076	11.9984	13.2100
178.4600	12.0143	13.2202
178.6124	12.6133	13.2596
178.7648	14.3203	13.2803
178.9172	12.0584	13.0510
179.0696	12.1780	13.0586
179.2220	12.2001	13.0529
179.3744	12.2344	13.0306
179.5268	12.8359	13.3359
179.6792	12.6621	13.4585
179.8316	12.1992	13.5254
179.9840	13.2969	14.2676
180.1364	14.7396	15.2484
180.2888	14.6964	15.2430
180.4412	14.6945	15.2440
180.5936	14.6375	15.2249
180.7460	15.3633	15.2466
180.8984	15.3984	15.1455
181.0508	15.3994	15.0516
181.2032	15.7457	15.0378
181.3556	15.7604	15.0693
181.5080	15.7564	15.2605
181.6604	15.7617	15.2516
181.8128	15.6460	15.1506
181.9652	15.0938	14.2793
182.1176	15.1855	14.2734
182.2700	15.3799	14.2085
182.4224	15.5693	14.0614
182.5748	15.4785	14.0678
182.7272	14.3203	14.0913
182.8796	12.0677	14.1506
183.0320	12.1419	14.2185
183.1844	12.4731	14.7070
183.3368	12.7070	13.9844
183.4892	14.1934	14.9473
183.6416	12.9785	13.7432
183.7940	13.7432	14.3105
183.9464	13.9409	14.4216
184.0988	14.0708	14.4860
184.2512	13.5508	14.3472
184.4036	12.3965	14.1430
184.5560	12.6353	14.1754
184.7084	13.2168	14.3994
184.8608	13.9092	14.6529
185.0132	13.9731	14.6473
185.1656	14.3174	14.7778
185.3180	13.3516	14.2598
185.4704	12.4154	13.8176
185.6228	12.3770	13.7607
185.7752	12.5078	13.8384
185.9276	13.1758	13.9761
186.0800	12.7129	13.5430
186.2324	12.3779	13.3611
186.3848	12.5732	13.3795
186.5372	12.6278	13.4567
186.6896	13.0332	14.7246
186.8420	14.2070	14.9841
186.9944	14.2568	15.2158
187.1468	14.2864	15.2479
187.2992	14.2363	15.2305
187.4516	13.1367	14.6045
187.6040	14.4375	15.0605
187.7564	13.3398	14.5757
187.9088	14.8932	14.7831
188.0612	14.5723	14.7280
188.2136	13.8203	14.5577
188.3660	14.3047	14.7676
188.5184	14.7490	14.7344
188.6708	14.7178	14.0938
188.8232	15.4336	14.9316
188.9756	14.6914	15.2580
189.1280	13.2773	15.2506
189.2804	13.2891	15.2390
189.4328	14.2305	15.2189
189.5852	15.3369	15.2326
189.7376	15.5115	15.2427
189.8900	15.3691	15.2479
190.0424	15.4531	15.2485
190.1948	15.5072	15.2476
190.3472	15.6174	15.2479
190.4996	15.7510	15.2591
190.6520	15.7732	15.2499
190.8044	15.7777	15.2601
190.9568	15.7782	15.2617
191.1092	15.7898	15.2675
191.2616	15.7827	15.2715
191.4140	15.2813	15.1952
191.5664	15.7471	15.2482
191.7188	15.7665	15.2516
191.8712	15.7807	15.2692
192.0236	15.7808	15.2673
192.1760	15.7762	15.2552
192.3284	15.7752	15.2498
192.4808	15.7689	15.2473
192.6332	15.7825	15.2531
192.7856	15.2471	15.1082
192.9380	15.4199	15.1768
193.0904	15.7090	15.2489
193.2428	15.7678	15.2577
193.3952	15.7657	15.2562
193.5476	15.4170	14.8916
193.7000	14.9624	14.5587
193.8524	14.8669	14.3789
194.0048	14.5977	14.7305
194.1572	13.8281	15.0342
194.3096	13.3539	14.7384
194.4620	13.3859	14.7073
194.6144	13.3938	14.7206
194.7668	13.2739	14.6396
194.9192	13.1963	14.4076
195.0716	14.0918	14.5898
195.2240	15.3269	15.2310
195.3764	15.4421	15.2527
195.5288	15.3027	15.2036
195.6812	14.6743	15.0137
195.8336	14.4395	15.0801
195.9860	14.1582	14.2109
196.1384	14.9683	15.1152
196.2908	15.1860	15.2294
196.4432	14.9175	15.2246
196.5956	14.5786	14.5527
196.7480	13.8916	14.0010
196.9004	14.4023	14.5420
197.0528	15.3906	15.1689
197.2052	15.0586	14.7666
197.3576	13.6309	15.1670
197.5100	14.0313	15.2505
197.6624	15.4121	15.2569
197.8148	15.7554	15.2582
197.9672	15.7481	15.2650
198.1196	13.5430	15.2026
198.2720	12.9004	14.9053
198.4244	13.6016	15.0654
198.5768	14.9844	15.2473
198.7292	15.5815	15.2565
198.8816	14.6289	15.2545
199.0340	13.7803	15.2431
199.1864	13.5195	15.2341
199.3388	13.3707	15.2341
199.4912	13.5259	15.1279
199.6436	13.2598	14.8408
199.7960	12.9199	14.7236
199.9484	13.1895	14.8713
200.1008	12.8203	14.9111
200.2532	13.2900	15.1074
200.4056	13.5049	15.1350
200.5580	12.9395	14.9614
200.7104	12.5796	14.8086
200.8628	12.6914	14.6094
201.0152	13.9102	14.9521
201.1676	14.4648	14.4678
201.3200	15.5078	15.1055
201.4724	15.5625	15.0798
201.6248	15.7935	15.2635
201.7772	15.7790	15.2491
201.9296	15.7939	15.2714
202.0820	15.7582	14.9932
202.2344	15.7558	14.9224
202.3868	15.7617	14.9189
202.5392	15.7751	15.2588
202.6916	13.7227	14.4023
202.8440	14.3770	14.5022
202.9964	14.7222	15.1699
203.1488	14.3462	14.8364
203.3012	14.3301	14.9170
203.4536	14.4465	15.0099
203.6060	14.5081	15.2251
203.7584	15.2871	15.2520
203.9108	14.9785	15.2162
204.0632	12.7930	15.0825
204.2156	14.5430	15.1956
204.3680	15.3379	15.2231
204.5204	15.7402	15.2501
204.6728	15.7864	15.2551
204.8252	15.7845	15.2519
204.9776	15.7786	15.2470
205.1300	15.7838	15.2513
205.2824	15.7822	15.2471
205.4348	14.9727	15.2558
205.5872	15.1870	14.6631
205.7396	12.7500	14.2387
205.8920	13.1475	13.8379
206.0444	13.2143	13.9161
206.1968	13.6660	14.6347
206.3492	13.2129	14.3360
206.5016	13.6144	15.1426
206.6540	14.9571	15.2398
206.8064	15.5001	15.2505
206.9588	13.4141	15.1603
207.1112	13.3120	15.1580
207.2636	13.4817	15.1547
207.4160	15.4961	15.2424
207.5684	15.5719	14.7666
207.7208	12.9492	15.0010
207.8732	12.6390	14.9656
208.0256	12.6457	14.7961
208.1780	12.6349	14.6387
208.3304	12.6492	14.5473
208.4828	15.1444	15.1552
208.6352	14.2793	14.8184
208.7876	14.6652	15.1426
208.9400	15.5899	15.2519
209.0924	15.6535	15.2569
209.2448	15.5200	15.2375
209.3972	13.3164	14.4472
209.5496	12.9120	14.0557
209.7020	13.3956	14.1021
209.8544	13.9756	14.2554
210.0068	14.1306	14.3768
210.1592	15.1661	15.1055
210.3116	15.6841	15.2535
210.4640	15.7632	15.2397
210.6164	15.7797	15.2590
210.7688	15.7858	15.2609
210.9212	15.6254	15.0640
211.0736	14.8261	15.2022
211.2260	14.5991	15.2507
211.3784	14.5767	15.2556
211.5308	15.5391	15.2586
211.6832	15.7652	15.2214
211.8356	15.7585	15.2374
211.9880	15.7727	15.2500
212.1404	15.7826	15.2516
212.2928	15.7842	15.2575
212.4452	15.7801	15.2658
212.5976	15.7848	15.2590
212.7500	15.7847	15.2527
212.9024	15.7842	15.2516
213.0548	15.7888	15.2554
213.2072	15.7828	15.2613
213.3596	15.7788	15.2563
213.5120	15.7737	15.2505
213.6644	15.7858	15.2547
213.8168	15.7812	15.2492
213.9692	15.7827	15.2532
214.1216	15.7887	15.2618
214.2740	15.7902	15.2640
214.4264	15.7902	15.2640
214.5788	15.7957	15.2667
214.7312	15.7950	15.2650
214.8836	15.7912	15.2640
215.0360	15.7859	15.2604
215.1884	15.7842	15.2591
215.3408	15.7869	15.2591
215.4932	15.7852	15.2564
215.6456	15.1231	15.0176
215.7980	15.1524	15.1328
215.9504	15.2887	15.2420
216.1028	15.6396	15.2577
216.2552	14.8535	15.2586
216.4076	14.5789	15.2553
216.5600	14.6153	15.2610
216.7124	14.5458	15.2632
216.8648	14.5848	15.2636
217.0172	15.1065	15.2607
217.1696	15.6445	15.2574
217.3220	15.5166	15.2575
217.4744	15.3276	15.2587
217.6268	15.3241	15.2624
217.7792	15.6358	15.2607
217.9316	15.7842	15.2541
218.0840	15.7803	15.2533
218.2364	15.7718	15.2559
218.3888	15.7749	15.2600
218.5412	15.7861	15.2681
218.6936	15.7786	15.2571
218.8460	15.7838	15.2563
218.9984	15.3848	14.4492
219.1508	15.4307	14.4122
219.3032	15.6970	15.0166
219.4556	15.7617	15.2292
219.6080	15.7797	15.2510
219.7604	15.7804	15.2555
219.9128	15.7796	15.2635
220.0652	15.7813	15.2661
220.2176	15.7828	15.2651
220.3700	15.7819	15.2666
220.5224	15.7864	15.2695
220.6748	15.7829	15.2655
220.8272	15.7819	15.2646
220.9796	15.7662	15.2643
221.1320	15.7565	15.2606
221.2844	15.7683	15.2598
221.4368	15.7806	15.2551
221.5892	15.7829	15.2531
221.7416	15.7811	14.8809
221.8940	15.7792	14.9921
222.0464	15.6005	14.1483
222.1988	14.9921	13.2114
222.3512	14.5554	13.1172
222.5036	14.4612	13.1909
222.6560	14.4111	13.1592
222.8084	14.4544	13.2223
222.9608	14.5750	14.4024
223.1132	14.7857	15.2536
223.2656	15.1660	15.2570
223.4180	15.1576	14.7752
223.5704	14.4785	13.5351
223.7228	14.3008	12.7307
223.8752	14.4977	12.5684
224.0276	14.5652	12.5818
224.1800	14.6085	12.5923
224.3324	14.7034	12.5348
224.4848	14.6846	12.7715
224.6372	14.5463	13.2334
224.7896	14.5198	13.4493
224.9420	14.4991	13.7090
225.0944	14.4901	13.5351
225.2468	14.6583	13.3536
225.3992	15.3067	14.4181
225.5516	15.6269	15.2536
225.7040	15.3213	15.2604
225.8564	15.4258	15.2647
226.0088	15.7354	15.2714
226.1612	15.7902	15.2733
226.3136	15.7828	15.2660
226.4660	15.3242	15.2621
226.6184	15.0410	15.2652
226.7708	15.2265	15.2606
226.9232	15.2066	15.2529
227.0756	15.4639	15.1550
227.2280	15.7676	14.7930
227.3804	15.7757	14.8604
227.5328	15.7677	15.2640
227.6852	15.7781	15.2657
227.8376	15.7902	15.2694
227.9900	15.7885	15.2511
228.1424	15.7882	15.2435
228.2948	15.7902	15.2657
228.4472	15.7902	15.2694
228.5996	15.7876	15.2676
228.7520	15.7763	15.2547
228.9044	15.7741	15.2508
229.0568	15.7842	15.2558
229.2092	15.7842	15.2516
229.3616	15.7868	15.2601
229.5140	15.7836	15.2673
229.6664	15.7691	15.2621
229.8188	15.7687	15.2623
229.9712	15.7615	15.2626
230.1236	15.7569	15.2604
230.2760	15.7818	15.2518
230.4284	15.7807	15.2502
230.5808	15.7842	15.2554
230.7332	15.3847	15.2579
230.8856	14.6909	15.2596
231.0380	14.5557	15.2545
231.1904	14.3701	14.4530
231.3428	14.1558	13.2400
231.4952	14.7638	13.3628
231.6476	15.6184	13.5125
231.8000	15.7450	13.6008
231.9524	15.7490	13.6070
232.1048	15.7594	14.1485
232.2572	15.3730	14.7920
232.4096	14.9590	14.4981
232.5620	15.1992	14.8238
232.7144	14.7392	15.1228
232.8668	14.5595	15.2371
233.0192	14.5494	15.2490
233.1716	14.4292	15.0409
233.3240	14.3067	14.3828
233.4764	14.8595	14.1173
233.6288	15.7040	14.7066
233.7812	15.7712	15.0029
233.9336	15.6459	14.4646
234.0860	14.9843	12.8022
234.2384	14.1887	12.6860
234.3908	14.5547	13.0782
234.5432	14.9179	13.5830
234.6956	14.1460	13.1677
234.8480	14.4273	13.2451
235.0004	14.6567	13.4894
235.1528	14.6536	13.5009
235.3052	14.6255	13.6270
235.4576	14.8272	14.0870
235.6100	15.4600	14.6456
235.7624	15.7730	15.0430
235.9148	15.7693	15.2594
236.0672	15.7199	15.2623
236.2196	15.5473	15.2516
236.3720	15.3735	15.0537
236.5244	14.8104	14.1444
236.6768	13.8706	13.0895
236.8292	13.9832	13.0910
236.9816	14.1143	12.9619
237.1340	14.2337	12.5397
237.2864	14.2739	12.5869
237.4388	14.2402	12.6279
237.5912	14.1846	12.7872
237.7436	14.1815	13.5800
237.8960	13.1876	12.7459
238.0484	13.8391	12.7957
238.2008	13.8940	12.7922
238.3532	13.9164	12.8084
238.5056	13.8740	12.8116
238.6580	13.6848	12.7085
238.8104	13.9034	12.6856
238.9628	14.4727	13.1333
239.1152	15.1280	13.1172
239.2676	15.3884	13.5636
239.4200	15.4273	14.2432
239.5724	15.4464	14.2264
239.7248	15.4383	13.2401
239.8772	15.2167	13.1487
240.0296	14.4305	13.0364
240.1820	14.4800	12.8796
240.3344	14.4420	12.7455
240.4868	14.4412	12.7471
240.6392	14.4438	12.7553
240.7916	14.3847	12.7261
240.9440	14.1707	12.7286
241.0964	14.2588	13.2402
241.2488	14.0587	12.7353
241.4012	14.0910	12.6678
241.5536	14.0784	12.6678
241.7060	14.0391	12.6767
241.8584	14.0430	13.1291
242.0108	14.5683	14.8123
242.1632	13.6944	13.1329
242.3156	14.3350	13.5642
242.4680	14.8476	13.4487
242.6204	14.3017	13.4181
242.7728	13.6689	13.2885
242.9252	13.4026	12.9731
243.0776	13.3755	13.0107
243.2300	13.1099	12.6307
243.3824	13.4747	12.6082
243.5348	14.2618	12.7239
243.6872	14.2506	12.7249
243.8396	14.2516	12.7222
243.9920	14.1863	12.6335
244.1444	14.0748	12.5068
244.2968	13.9977	12.2788
244.4492	14.0774	12.4995
244.6016	14.1997	12.6502
244.7540	14.2285	12.6471
244.9064	14.2337	12.6618
245.0588	14.2398	12.7307
245.2112	14.3118	12.8289
245.3636	14.4083	12.9317
245.5160	15.0058	13.7558
245.6684	14.3077	13.0089
245.8208	14.5962	13.5060
245.9732	14.3794	13.4942
246.1256	14.1719	13.4475
246.2780	13.9712	13.3915
246.4304	13.8408	12.6885
246.5828	14.0650	13.1861
246.7352	14.4190	13.3517
246.8876	14.7948	14.3282
247.0400	13.9078	15.0043
247.1924	13.8854	15.0504
247.3448	13.8374	15.1514
247.4972	14.1885	15.1561
247.6496	13.9859	13.6952
247.8020	14.2095	13.7432
247.9544	14.2253	13.7476
248.1068	14.2179	13.7587
248.2592	14.1809	13.7990
248.4116	14.3217	15.0155
248.5640	14.3400	13.9356
248.7164	15.3008	14.2329
248.8688	15.5900	14.4005
249.0212	15.6699	15.2637
249.1736	15.3009	15.2467
249.3260	15.2959	15.2343
249.4784	15.1905	14.2814
249.6308	15.7082	14.2497
249.7832	15.5659	14.2423
249.9356	15.7842	15.2591
250.0880	15.7842	15.2591
250.2404	15.7770	15.2630
250.3928	15.7901	15.2712
250.5452	15.7836	15.2610
250.6976	15.6716	15.1248
250.8500	13.8152	13.2629
251.0024	13.7750	13.1924
251.1548	13.7811	12.9865
251.3072	13.7705	13.1460
251.4596	13.5873	13.0747
251.6120	13.6587	13.1646
251.7644	13.8654	13.5666
251.9168	15.0870	14.8670
252.0692	15.6444	13.7366
252.2216	14.8999	13.8420
252.3740	14.8281	15.1015
252.5264	14.4138	14.2401
252.6788	14.2903	13.3923
252.8312	14.4239	13.2790
252.9836	15.2675	13.1599
253.1360	14.4044	13.0783
253.2884	14.9066	13.0634
253.4408	14.9335	13.0447
253.5932	14.9666	13.1788
253.7456	15.2334	14.0431
253.8980	15.5800	15.2714
254.0504	15.1329	15.2519
254.2028	15.7709	15.2138
254.3552	15.7688	15.0502
254.5076	15.7677	15.0562
254.6600	15.7677	15.2282
254.8124	15.1990	14.6053
254.9648	13.8165	13.2637
255.1172	13.7864	13.3906
255.2696	13.8837	12.8455
255.4220	14.1153	12.9756
255.5744	14.5042	13.0218
255.7268	14.3598	12.8647
255.8792	14.1154	12.6372
256.0316	14.0680	12.6402
256.1840	14.2637	12.8296
256.3364	14.5952	12.8988
256.4888	14.6412	13.4688
256.6412	14.3906	13.9218
256.7936	14.2911	13.4936
256.9460	15.0723	14.2540
257.0984	15.5869	15.2558
257.2508	15.6812	15.2511
257.4032	15.6718	15.2504
257.5556	14.7617	15.2509
257.7080	14.6367	14.8837
257.8604	14.6600	14.0586
258.0128	13.3862	14.4220
258.1652	13.1775	15.2554
258.3176	13.1737	15.2597
258.4700	13.1625	15.2577
258.6224	14.5314	15.2573
258.7748	15.7617	15.2631
258.9272	15.7630	15.2631
259.0796	15.7640	15.2644
259.2320	15.7457	15.2586
259.3844	15.7518	15.2551
259.5368	14.8280	14.1679
259.6892	14.0542	13.4783
259.8416	13.9884	13.3584
259.9940	14.0194	13.2482
260.1464	14.1954	13.1707
260.2988	14.9394	13.1433
260.4512	14.8262	13.1925
260.6036	15.0616	14.0313
260.7560	15.3411	14.4075
260.9084	15.5474	14.3811
261.0608	15.6144	14.2338
261.2132	14.1366	13.8095
261.3656	13.5221	13.6193
261.5180	13.5675	14.0175
261.6704	14.2071	13.6768
261.8228	14.6558	14.1210
261.9752	14.7114	13.3281
262.1276	13.7597	13.0498
262.2800	13.4281	13.0851
262.4324	13.4281	13.0851
262.5848	13.4280	12.9997
262.7372	12.9952	12.6006
262.8896	13.4092	12.6275
263.0420	13.6516	12.7949
263.1944	13.6727	12.8281
263.3468	13.7254	12.7751
263.4992	14.5059	13.2306
263.6516	14.6731	14.2969
263.8040	13.2461	14.6924
263.9564	12.9380	14.7642
264.1088	12.8408	15.1844
264.2612	12.8187	13.8985
264.4136	13.1373	14.0985
264.5660	14.0702	13.3925
264.7184	13.3945	12.5000
264.8708	13.2942	12.3945
265.0232	13.3040	12.4011
265.1756	13.2995	12.3939
265.3280	13.5567	13.8946
265.4804	13.7195	14.7637
265.6328	13.8533	14.6074
265.7852	13.7063	14.6654
265.9376	13.6062	14.3266
266.0900	13.5822	14.2892
