HOLE:	995B
LEG:	164
TOP:	151.332993
BOTTOM:	661.415771
DEPTH_WMSF	RHOB	PEF	DRHO
m	g/cm3	barns/e-	g/cm3
174.4978	1.5529	2.8868	-0.0129
174.6502	1.6021	3.0393	0.0265
174.8026	1.5940	2.8587	0.0102
174.9550	1.5870	2.6525	0.0061
175.1074	1.5865	2.5637	0.0116
175.2598	1.5769	2.5543	0.0148
175.4122	1.5729	2.7292	0.0111
175.5646	1.5739	2.8772	-0.0010
175.7170	1.5998	2.9953	-0.0030
175.8694	1.6348	2.9660	0.0097
176.0218	1.6505	2.8568	0.0156
176.1742	1.6397	2.6981	0.0094
176.3266	1.6108	2.5933	0.0108
176.4790	1.5734	2.5399	0.0085
176.6314	1.5516	2.7214	0.0134
176.7838	1.5567	2.8640	0.0057
176.9362	1.5785	2.9762	0.0098
177.0886	1.5778	2.5844	-0.0052
177.2410	1.5782	2.2191	-0.0035
177.3934	1.5249	1.9220	0.0129
177.5458	1.4475	1.7518	0.0073
177.6982	1.4058	1.8094	-0.0014
177.8506	1.4449	2.0797	0.0174
178.0030	1.4981	2.5303	0.0049
178.1554	1.5488	2.7554	0.0026
178.3078	1.6215	2.8880	0.0064
178.4602	1.6515	2.9448	0.0026
178.6126	1.6396	3.0232	-0.0161
178.7650	1.6370	2.9998	-0.0175
178.9174	1.6349	2.6918	-0.0192
179.0698	1.6050	2.4307	-0.0198
179.2222	1.5922	2.4382	-0.0109
179.3746	1.5750	2.6588	-0.0114
179.5270	1.5838	2.8127	-0.0120
179.6794	1.5840	2.8365	-0.0016
179.8318	1.5759	2.8093	0.0073
179.9842	1.5532	2.7970	0.0054
180.1366	1.5234	2.7811	-0.0126
180.2890	1.5237	2.8778	-0.0100
180.4414	1.5049	2.7639	-0.0107
180.5938	1.5019	2.8045	0.0047
180.7462	1.4755	2.6483	-0.0111
180.8986	1.5144	2.5634	0.0031
181.0510	1.5117	2.2791	-0.0062
181.2034	1.5441	2.2412	0.0206
181.3558	1.5271	2.3768	0.0136
181.5082	1.5117	2.3708	-0.0165
181.6606	1.5095	2.3738	-0.0046
181.8130	1.5148	2.2455	0.0105
181.9654	1.4937	2.4862	-0.0040
182.1178	1.5140	2.5997	-0.0049
182.2702	1.5599	2.8600	0.0084
182.4226	1.6134	2.8122	0.0239
182.5750	1.5985	2.7855	0.0107
182.7274	1.5675	2.8341	0.0042
182.8798	1.5404	2.8909	-0.0006
183.0322	1.5303	2.6509	-0.0014
183.1846	1.5233	2.4876	-0.0070
183.3370	1.5410	2.3867	0.0195
183.4894	1.5668	2.5843	0.0284
183.6418	1.5764	2.5706	0.0223
183.7942	1.5635	2.4830	0.0043
183.9466	1.5613	2.3952	0.0131
184.0990	1.5235	2.5308	-0.0127
184.2514	1.5233	2.7169	-0.0304
184.4038	1.5640	2.8867	-0.0093
184.5562	1.6070	2.9561	0.0060
184.7086	1.6268	2.7760	0.0157
184.8610	1.5841	2.7585	-0.0003
185.0134	1.5631	2.7650	0.0159
185.1658	1.5642	2.9333	0.0231
185.3182	1.5771	2.9537	0.0117
185.4706	1.6121	2.9058	0.0171
185.6230	1.6007	2.7857	0.0105
185.7754	1.5990	2.6513	0.0163
185.9278	1.5704	2.6208	0.0013
186.0802	1.5503	2.6136	-0.0118
186.2326	1.5481	2.7752	-0.0163
186.3850	1.5553	2.9101	0.0002
186.5374	1.5525	2.8396	0.0094
186.6898	1.5225	2.6307	0.0048
186.8422	1.5333	2.3645	0.0214
186.9946	1.5303	2.5352	0.0111
187.1470	1.5407	2.4561	0.0052
187.2994	1.5364	2.5934	-0.0074
187.4518	1.5149	2.5018	-0.0009
187.6042	1.5338	2.6326	0.0115
187.7566	1.5147	2.5172	-0.0023
187.9090	1.5308	2.4713	0.0026
188.0614	1.5191	2.5051	0.0203
188.2138	1.5139	2.6737	0.0211
188.3662	1.5245	2.8400	0.0108
188.5186	1.5350	3.0021	0.0059
188.6710	1.5360	2.8070	-0.0030
188.8234	1.5224	2.6166	-0.0021
188.9758	1.4668	2.4316	-0.0011
189.1282	1.4252	2.3786	-0.0188
189.2806	1.4226	2.4374	-0.0001
189.4330	1.4633	2.5809	0.0144
189.5854	1.4685	2.4264	0.0131
189.7378	1.4187	2.2461	-0.0025
189.8902	1.3741	2.0627	-0.0156
190.0426	1.4153	2.1840	0.0276
190.1950	1.4466	2.3975	0.0155
190.3474	1.4643	2.2851	0.0004
190.4998	1.4302	2.1458	-0.0178
190.6522	1.3895	2.0130	-0.0044
190.8046	1.3384	2.1299	-0.0286
190.9570	1.3830	2.3399	-0.0172
191.1094	1.4986	2.6651	0.0125
191.2618	1.5814	2.7489	0.0059
191.4142	1.5753	2.6122	-0.0058
191.5666	1.5132	2.3288	0.0075
191.7190	1.4503	2.1497	0.0197
191.8714	1.3771	2.1477	-0.0040
192.0238	1.4015	2.3159	0.0075
192.1762	1.4486	2.4101	0.0027
192.3286	1.4821	2.3056	-0.0088
192.4810	1.4658	2.1545	0.0129
192.6334	1.3955	2.0846	0.0140
192.7858	1.3679	2.1995	0.0364
192.9382	1.3742	2.1720	0.0111
193.0906	1.3886	2.1095	-0.0053
193.2430	1.3822	1.9883	-0.0126
193.3954	1.3832	2.1278	-0.0109
193.5478	1.4197	2.4262	-0.0082
193.7002	1.4979	2.4439	0.0018
193.8526	1.5301	2.3388	0.0183
194.0050	1.4801	2.2276	0.0184
194.1574	1.4591	2.3127	0.0303
194.3098	1.4734	2.5522	0.0293
194.4622	1.5486	2.5693	0.0395
194.6146	1.5907	2.6630	0.0181
194.7670	1.5889	2.6053	0.0026
194.9194	1.6144	2.6158	0.0140
195.0718	1.6048	2.5387	0.0135
195.2242	1.6002	2.4301	0.0097
195.3766	1.5529	2.3391	-0.0018
195.5290	1.5514	2.2436	0.0136
195.6814	1.5371	2.3496	0.0123
195.8338	1.5490	2.4973	0.0080
195.9862	1.5837	2.4690	0.0163
196.1386	1.5807	2.5845	0.0105
196.2910	1.5655	2.6882	0.0170
196.4434	1.5436	2.7292	0.0257
196.5958	1.4961	2.6207	-0.0104
196.7482	1.5147	2.5001	-0.0016
196.9006	1.5140	2.5964	-0.0050
197.0530	1.5649	2.6965	0.0128
197.2054	1.6061	2.8112	0.0205
197.3578	1.6315	2.5974	0.0160
197.5102	1.5440	2.4467	0.0122
197.6626	1.4500	2.3171	0.0152
197.8150	1.3849	2.3683	-0.0113
197.9674	1.4121	2.5218	0.0014
198.1198	1.4656	2.6493	0.0070
198.2722	1.5042	2.8884	0.0141
198.4246	1.5478	2.6741	0.0140
198.5770	1.5813	2.4684	0.0169
