0	0.00265753	0.000996574
0.023188	0.006660992	0.002497872
0.061924	0.0133263	0.004997363
0.071673	0.015990228	0.005996336
0.089065	0.01998723	0.007495211
0.103294	0.024615385	0.009230769
0.106192	0.026671853	0.010001945
0.109881	0.02833558	0.010625842
0.11357	0.029649152	0.011118432
0.114625	0.030965078	0.011611904
0.116996	0.032008536	0.012003201
0.118841	0.033348	0.0125055
0.119895	0.051611978	0.019354492
0.121476	0.05665388	0.021245205
0.123847	0.061713845	0.023142692
0.128063	0.072482005	0.027180752
0.131752	0.082434096	0.030912786
0.134651	0.088976767	0.033366288
0.136495	0.097129945	0.036423729
0.140448	0.106351551	0.039881832
0.140711	0.108087821	0.040532933
0.142029	0.119269474	0.044726053
0.145982	0.132657761	0.049746661
0.146245	0.13461089	0.050479084
0.152042	0.165232358	0.061962134
0.154414	0.176860722	0.066322771
0.155204	0.186299243	0.069862216
0.157576	0.197327852	0.073997945
0.15863	0.203017059	0.076131397
0.161001	0.232408005	0.087153002
0.163373	0.26039783	0.097649186
0.164954	0.267608251	0.100353094
0.170224	0.324032403	0.121512151
0.173123	0.357231456	0.133961796
0.175758	0.393819226	0.14768221
0.177866	0.401785714	0.150669643
0.18419	0.477453581	0.179045093
0.192358	0.574277168	0.215353938
0.196047	0.631440474	0.236790178
0.199473	0.672897196	0.252336449
0.208169	0.760496435	0.285186163
0.222925	0.898595944	0.336973479
0.228986	0.944262295	0.354098361
0.239262	1.023090586	0.38365897
0.253491	1.10514198	0.414428243
0.26693	1.172638436	0.439739414
0.29249	1.273209549	0.477453581
0.307773	1.332099907	0.499537465
0.326746	1.397379913	0.524017467
0.343083	1.462671407	0.548501778
0.361528	1.533546326	0.575079872
0.380764	1.608040201	0.603015075
0.397365	1.67636787	0.628637951
0.412121	1.741233374	0.652962515
0.428722	1.804511278	0.676691729
0.443742	1.866493843	0.699935191
0.455336	1.921280854	0.72048032
0.471146	1.99032481	0.746371804
0.48722	2.064516129	0.774193548
0.504084	2.15085885	0.806572069
0.516996	2.223938224	0.833976834
0.531752	2.300319489	0.862619808
0.547826	2.378199835	0.891824938
0.563636	2.46364414	0.923866553
0.577075	2.546419098	0.954907162
0.589196	2.630136986	0.98630137
0.595784	2.679069767	1.004651163
0.609486	2.777242044	1.041465767
0.624506	2.888665998	1.083249749
0.638208	2.993762994	1.122661123
0.652174	3.106796117	1.165048544
0.665086	3.214285714	1.205357143
0.677207	3.333333333	1.25
0.689065	3.440860215	1.290322581
0.702503	3.595505618	1.348314607
0.70751	3.631778058	1.361916772
0.717523	3.764705882	1.411764706
0.72859	3.902439024	1.463414634
0.736759	4.011142061	1.504178273
0.748353	4.186046512	1.569767442
0.762055	4.383561644	1.643835616
0.771542	4.542586751	1.703470032
0.781818	4.721311475	1.770491803
0.791568	4.931506849	1.849315068
0.800264	5.12455516	1.921708185
0.808432	5.303867403	1.988950276
0.817128	5.527831094	2.07293666
0.826878	5.818181818	2.181818182
0.832938	6.037735849	2.264150943
0.839526	6.247288503	2.342733189
0.844269	6.457399103	2.421524664
0.848748	6.545454545	2.454545455
0.852174	6.744730679	2.529274005
0.859025	7.093596059	2.660098522
0.864032	7.328244275	2.748091603
0.869302	7.700534759	2.887700535
0.875099	7.977839335	2.991689751
0.879578	8.347826087	3.130434783
0.88643	8.80733945	3.302752294
0.89249	9.32038835	3.495145631
0.89776	9.896907216	3.711340206
0.901976	10.47272727	3.927272727
0.907773	11.07692308	4.153846154
0.911726	11.70731707	4.390243902
0.916206	12.20338983	4.576271186
0.919631	12.91479821	4.843049327
0.922266	13.39534884	5.023255814
0.924638	13.98058252	5.242718447
0.928063	14.54545455	5.454545455
0.931752	15.40106952	5.77540107
0.933333	16	6
0.935178	16.64739884	6.242774566
0.938604	17.56097561	6.585365854
0.941766	18.7012987	7.012987013
0.94361	19.32885906	7.248322148
0.945191	20.28169014	7.605633803
0.947299	21.02189781	7.883211679
0.948617	21.33333333	8
0.950725	22.67716535	8.503937008
0.95336	24.20168067	9.075630252
0.955731	25.48672566	9.557522124
0.958103	26.66666667	10
0.961792	29.3877551	11.02040816
0.964427	30.96774194	11.61290323
0.966271	32	12
0.968379	34.28571429	12.85714286
0.969433	34.69879518	13.01204819
0.971805	36.92307692	13.84615385
0.972859	37.4025974	14.02597403
0.97444	38.91891892	14.59459459
0.975494	40	15
0.977866	43.63636364	16.36363636
0.97892	46.4516129	17.41935484
0.981028	50.52631579	18.94736842
0.982345	50.52631579	18.94736842
0.983926	53.33333333	20
0.985244	60	22.5
0.986561	65.45454545	24.54545455
0.987879	66.97674419	25.11627907
0.988406	66.97674419	25.11627907
0.993676	72	27
0.995784	72	27
0.996574	73.84615385	27.69230769
1	80	30
